order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,eommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
10285,QUICK,QUICK-Stop,1,Chai,Beverages,,45,14.4,9/20/19 12:00 AM,Germany,Cunewalde,,,,
10294,RATTC,Rattlesnake Canyon Grocery,1,Chai,Beverages,,18,14.4,9/30/19 12:00 AM,USA,Albuquerque,,,,
10317,LONEP,Lonesome Pine Restaurant,1,Chai,Beverages,,20,14.4,10/31/19 12:00 AM,USA,Portland,,,,
10348,WANDK,Die Wandernde Kuh,1,Chai,Beverages,,15,14.4,12/8/19 12:00 AM,Germany,Stuttgart,,,,
10354,PERIC,Pericles Comidas clásicas,1,Chai,Beverages,,12,14.4,12/15/19 12:00 AM,Mexico,México D.F.,,,,
10370,CHOPS,Chop-suey Chinese,1,Chai,Beverages,,15,14.4,1/3/20 12:00 AM,Switzerland,Bern,,,,
10406,QUEEN,Queen Cozinha,1,Chai,Beverages,,10,14.4,2/7/20 12:00 AM,Brazil,São Paulo,,,,
10413,LAMAI,La maison d'Asie,1,Chai,Beverages,,24,14.4,2/14/20 12:00 AM,France,Toulouse,,,,
10477,PRINI,Princesa Isabel Vinhos,1,Chai,Beverages,,15,14.4,4/17/20 12:00 AM,Portugal,Lisboa,,,,
10522,LEHMS,Lehmanns Marktstand,1,Chai,Beverages,,40,18,5/31/20 12:00 AM,Germany,Frankfurt a.M. ,,,,
10526,WARTH,Wartian Herkku,1,Chai,Beverages,,8,18,6/5/20 12:00 AM,Finland,Oulu,,,,
10576,TORTU,Tortuga Restaurante,1,Chai,Beverages,,10,18,7/24/20 12:00 AM,Mexico,México D.F.,,,,
10590,MEREP,Mère Paillarde,1,Chai,Beverages,,20,18,8/7/20 12:00 AM,Canada,Montréal,,,,
10609,DUMON,Du monde entier,1,Chai,Beverages,,3,18,8/24/20 12:00 AM,France,Nantes,,,,
10611,WOLZA,Wolski  Zajazd,1,Chai,Beverages,,6,18,8/25/20 12:00 AM,Poland,Warszawa,,,,
10628,BLONP,Blondel père et fils,1,Chai,Beverages,,25,18,9/12/20 12:00 AM,France,Strasbourg,,,,
10646,HUNGO,Hungry Owl All-Night Grocers,1,Chai,Beverages,,15,18,9/27/20 12:00 AM,Ireland,Cork,,,,
10689,BERGS,Berglunds snabbköp,1,Chai,Beverages,,35,18,11/1/20 12:00 AM,Sweden,Luleå,,,,
10691,QUICK,QUICK-Stop,1,Chai,Beverages,,30,18,11/3/20 12:00 AM,Germany,Cunewalde,,,,
10700,SAVEA,Save-a-lot Markets,1,Chai,Beverages,,5,18,11/10/20 12:00 AM,USA,Boise,,,,
10729,LINOD,LINO-Delicateses,1,Chai,Beverages,,50,18,12/5/20 12:00 AM,Venezuela,I. de Margarita,,,,
10752,NORTS,North/South,1,Chai,Beverages,,8,18,12/25/20 12:00 AM,UK,London,,,,
10838,LINOD,LINO-Delicateses,1,Chai,Beverages,,4,18,2/19/22 12:00 AM,Venezuela,I. de Margarita,,,,
10847,SAVEA,Save-a-lot Markets,1,Chai,Beverages,,80,18,2/22/22 12:00 AM,USA,Boise,,,,
10863,HILAA,HILARIÓN-Abastos,1,Chai,Beverages,,20,18,3/4/22 12:00 AM,Venezuela,San Cristóbal,,,,
10869,SEVES,Seven Seas Imports,1,Chai,Beverages,,40,18,3/6/22 12:00 AM,UK,London,,,,
10905,WELLI,Wellington Importadora,1,Chai,Beverages,,20,18,3/26/22 12:00 AM,Brazil,Resende,,,,
10911,GODOS,Godos Cocina Típica,1,Chai,Beverages,,10,18,3/28/22 12:00 AM,Spain,Sevilla,,,,
10918,BOTTM,Bottom-Dollar Markets,1,Chai,Beverages,,60,18,4/1/22 12:00 AM,Canada,Tsawassen,,,,
10935,WELLI,Wellington Importadora,1,Chai,Beverages,,21,18,4/8/22 12:00 AM,Brazil,Resende,,,,
11003,THECR,The Cracker Box,1,Chai,Beverages,,4,18,5/6/22 12:00 AM,USA,Butte,,,,
11005,WILMK,Wilman Kala,1,Chai,Beverages,,2,18,5/7/22 12:00 AM,Finland,Helsinki,,,,
11006,GREAL,Great Lakes Food Market,1,Chai,Beverages,,8,18,5/7/22 12:00 AM,USA,Eugene,,,,
11025,WARTH,Wartian Herkku,1,Chai,Beverages,,10,18,5/15/22 12:00 AM,Finland,Oulu,,,,
11031,SAVEA,Save-a-lot Markets,1,Chai,Beverages,,45,18,5/17/22 12:00 AM,USA,Boise,,,,
11035,SUPRD,Suprêmes délices,1,Chai,Beverages,,10,18,5/20/22 12:00 AM,Belgium,Charleroi,,,,
11047,EASTC,Eastern Connection,1,Chai,Beverages,,25,18,5/24/22 12:00 AM,UK,London,,,,
11070,LEHMS,Lehmanns Marktstand,1,Chai,Beverages,,40,18,6/4/22 12:00 AM,Germany,Frankfurt a.M. ,,,,
10255,RICSU,Richter Supermarkt,2,Chang,Beverages,,20,15.2,8/12/19 12:00 AM,Switzerland,Genève,,,,
10258,ERNSH,Ernst Handel,2,Chang,Beverages,,50,15.2,8/17/19 12:00 AM,Austria,Graz,,,,
10264,FOLKO,Folk och fä HB,2,Chang,Beverages,,35,15.2,8/24/19 12:00 AM,Sweden,Bräcke,,,,
10298,HUNGO,Hungry Owl All-Night Grocers,2,Chang,Beverages,,40,15.2,10/6/19 12:00 AM,Ireland,Cork,,,,
10327,FOLKO,Folk och fä HB,2,Chang,Beverages,,25,15.2,11/11/19 12:00 AM,Sweden,Bräcke,,,,
10335,HUNGO,Hungry Owl All-Night Grocers,2,Chang,Beverages,,7,15.2,11/22/19 12:00 AM,Ireland,Cork,,,,
10342,FRANK,Frankenversand,2,Chang,Beverages,,24,15.2,11/30/19 12:00 AM,Germany,München,,,,
10393,SAVEA,Save-a-lot Markets,2,Chang,Beverages,,25,15.2,1/25/20 12:00 AM,USA,Boise,,,,
10418,QUICK,QUICK-Stop,2,Chang,Beverages,,60,15.2,2/17/20 12:00 AM,Germany,Cunewalde,,,,
